,Locus,Occurances in Chromosome 19
0,A1BG,1
1,ABCA7,18
2,ABHD17A,3
3,ABHD8,1
4,ACER1,2
5,ACP4,1
6,ACP5,7
7,ACP7,7
8,ACSBG2,11
9,ACTL9,1
10,ACTN4,11
11,ADAMTS10,6
12,ADAMTSL5,6
13,ADAT3,2
14,ADGRE1,6
15,ADGRE2,11
16,ADGRE3,5
17,ADGRE5,4
18,ADGRL1,20
19,ADM5,1
20,AKAP8,1
21,AKAP8L,2
22,AKT1S1,5
23,AKT2,14
24,ALDH16A1,4
25,ALKBH6,6
26,ALKBH7,3
27,AMH,1
28,ANGPTL4,4
29,ANGPTL6,8
30,ANGPTL8,1
31,ANKLE1,4
32,ANKRD24,13
33,ANKRD27,3
34,ANO8,2
35,AP1M1,2
36,AP1M2,4
37,AP2A1,4
38,AP2S1,7
39,AP3D1,4
40,APBA3,3
41,APC2,7
42,APLP1,4
43,APOC1,3
44,APOC2,1
45,APOC4,1
46,APOE,5
47,ARHGAP33,11
48,ARHGAP35,2
49,ARHGAP45,8
50,ARHGEF1,3
51,ARHGEF18,13
52,ARID3A,6
53,ARMC6,5
54,ARRDC2,3
55,ARRDC5,7
56,ASF1B,4
57,ASPDH,3
58,ATCAY,1
59,ATF5,4
60,ATG4D,3
61,ATP13A1,1
62,ATP1A3,3
63,ATP4A,1
64,ATP5F1D,2
65,ATP8B3,11
66,AURKC,3
67,AXL,3
68,AZU1,4
69,B3GNT3,2
70,B3GNT8,2
71,B9D2,3
72,BABAM1,4
73,BAX,9
74,BBC3,6
75,BCAM,2
76,BCAT2,4
77,BCKDHA,2
78,BCL2L12,9
79,BCL3,6
80,BEST2,1
81,BHMG1,4
82,BICRA,5
83,BLOC1S3,1
84,BLVRB,1
85,BORCS8,2
86,BRD4,5
87,BRSK1,4
88,BSG,6
89,BSPH1,2
90,BST2,1
91,BTBD2,2
92,C19orf12,12
93,C19orf18,1
94,C19orf25,3
95,C19orf33,2
96,C19orf38,5
97,C19orf44,5
98,C19orf47,13
99,C19orf48,10
100,C19orf53,1
101,C19orf54,23
102,C19orf57,33
103,C19orf67,5
104,C19orf71,2
105,C19orf73,1
106,C19orf81,1
107,C19orf84,1
108,C2CD4C,2
109,C3,1
110,C5AR1,2
111,C5AR2,4
112,CA11,1
113,CABP5,2
114,CACNA1A,5
115,CACNG6,4
116,CACNG7,3
117,CACNG8,1
118,CACTIN,4
119,CADM4,3
120,CALM3,7
121,CALR,1
122,CALR3,1
123,CAMSAP3,5
124,CAPN12,15
125,CAPNS1,8
126,CAPS,2
127,CARD8,51
128,CARM1,4
129,CASP14,2
130,CATSPERD,12
131,CATSPERG,2
132,CBARP,9
133,CBLC,6
134,CC2D1A,10
135,CCDC105,1
136,CCDC106,6
137,CCDC114,2
138,CCDC124,2
139,CCDC130,10
140,CCDC151,4
141,CCDC155,10
142,CCDC159,14
143,CCDC194,1
144,CCDC61,4
145,CCDC8,1
146,CCDC9,2
147,CCDC97,3
148,CCER2,7
149,CCL25,7
150,CCNE1,5
151,CD177,3
152,CD209,8
153,CD22,5
154,CD320,2
155,CD33,8
156,CD37,8
157,CD3EAP,2
158,CD70,2
159,CD79A,2
160,CDC34,3
161,CDC37,2
162,CDC42EP5,9
163,CDKN2D,2
164,CEACAM1,7
165,CEACAM16,2
166,CEACAM18,2
167,CEACAM19,2
168,CEACAM20,9
169,CEACAM21,43
170,CEACAM3,2
171,CEACAM4,37
172,CEACAM5,6
173,CEACAM6,2
174,CEACAM7,8
175,CEACAM8,9
176,CEBPA,4
177,CEBPG,3
178,CELF5,10
179,CEP89,4
180,CERS4,11
181,CFD,8
182,CGB1,1
183,CGB2,3
184,CGB3,1
185,CGB5,1
186,CGB7,2
187,CGB8,1
188,CHAF1A,4
189,CHERP,1
190,CHMP2A,4
191,CHST8,6
192,CIB3,2
193,CIC,15
194,CILP2,1
195,CIRBP,6
196,CKM,1
197,CLASRP,4
198,CLC,1
199,CLDND2,7
200,CLEC11A,1
201,CLEC17A,12
202,CLEC4G,3
203,CLEC4M,14
204,CLEC4O,1
205,CLIP3,2
206,CLPP,1
207,CLPTM1,3
208,CNFN,4
209,CNN1,7
210,CNN2,4
211,CNOT3,70
212,CNTD2,2
213,COL5A3,3
214,COLGALT1,5
215,COMP,1
216,COPE,5
217,COQ8B,2
218,COX6B1,1
219,COX6B2,4
220,COX7A1,1
221,CPAMD8,11
222,CPT1C,27
223,CRB3,4
224,CREB3L3,4
225,CRLF1,1
226,CRTC1,12
227,CRX,1
228,CSNK1G2,7
229,CTU1,1
230,CTXN1,1
231,CXCL17,1
232,CYP2A13,1
233,CYP2A6,1
234,CYP2A7,2
235,CYP2B6,1
236,CYP2F1,10
237,CYP2S1,1
238,CYP4F11,2
239,CYP4F12,9
240,CYP4F2,1
241,CYP4F22,3
242,CYP4F3,8
243,CYP4F8,3
244,CYTH2,4
245,DACT3,5
246,DAND5,1
247,DAPK3,2
248,DAZAP1,15
249,DBP,2
250,DCAF15,4
251,DDA1,2
252,DDX39A,7
253,DDX49,3
254,DEDD2,9
255,DENND1C,6
256,DHDH,3
257,DHPS,6
258,DHX34,5
259,DIRAS1,2
260,DKKL1,11
261,DLL3,2
262,DMAC2,12
263,DMKN,45
264,DMPK,7
265,DMRTC2,11
266,DMWD,1
267,DNAAF3,4
268,DNAJB1,6
269,DNASE2,1
270,DNM2,5
271,DNMT1,4
272,DOCK6,7
273,DOHH,3
274,DOT1L,7
275,DPF1,15
276,DPP9,10
277,DPRX,3
278,DPY19L3,6
279,DUS3L,3
280,DUXA,1
281,DYRK1B,13
282,EBI3,2
283,ECH1,7
284,ECSIT,4
285,EDDM13,1
286,EEF2,1
287,EFNA2,3
288,EGLN2,2
289,EHD2,1
290,EID2,1
291,EID2B,1
292,EIF3G,1
293,EIF3K,12
294,ELANE,6
295,ELAVL1,1
296,ELAVL3,7
297,ELL,5
298,ELOF1,7
299,ELSPBP1,2
300,EMC10,4
301,EML2,15
302,EMP3,3
303,EPHX3,3
304,EPN1,4
305,EPOR,1
306,EPS15L1,11
307,EPS8L1,132
308,ERCC1,15
309,ERCC2,4
310,ERF,6
311,ERFL,2
312,ERICH4,2
313,ERVV-1,1
314,ERVV-2,1
315,ETFB,3
316,ETHE1,5
317,ETV2,6
318,EVI5L,3
319,EXOC3L2,1
320,EXOSC5,1
321,F2RL3,2
322,FAAP24,3
323,FAM174C,1
324,FAM187B,1
325,FAM32A,2
326,FAM71E1,4
327,FAM71E2,1
328,FAM83E,4
329,FAM98C,3
330,FARSA,1
331,FBL,6
332,FBN3,10
333,FBXL12,10
334,FBXO17,8
335,FBXO27,2
336,FBXO46,4
337,FBXW9,2
338,FCAR,971
339,FCER2,4
340,FCGBP,4
341,FCGRT,2
342,FCHO1,27
343,FDX2,1
344,FEM1A,1
345,FFAR1,1
346,FFAR2,3
347,FFAR3,2
348,FGF21,1
349,FGF22,2
350,FIZ1,3
351,FKBP8,2
352,FKRP,9
353,FLT3LG,20
354,FOSB,3
355,FOXA3,1
356,FPR1,2
357,FPR2,3
358,FPR3,2
359,FSD1,2
360,FSTL3,1
361,FTL,2
362,FUT1,2
363,FUT2,2
364,FUT3,7
365,FUT5,1
366,FUT6,9
367,FUZ,18
368,FXYD1,7
369,FXYD3,12
370,FXYD5,5
371,FXYD7,1
372,FZR1,5
373,GADD45B,2
374,GADD45GIP1,1
375,GALP,2
376,GAMT,2
377,GAPDHS,1
378,GATAD2A,14
379,GCDH,6
380,GDF1,4
381,GDF15,2
382,GEMIN7,8
383,GET3,3
384,GFY,2
385,GGN,4
386,GIPC1,7
387,GIPC3,2
388,GIPR,13
389,GMFG,2
390,GMIP,7
391,GNA11,1
392,GNA15,1
393,GNG14,1
394,GNG7,2
395,GNG8,5
396,GP6,192
397,GPATCH1,2
398,GPI,29
399,GPR108,8
400,GPR32,1
401,GPR4,3
402,GPR42,1
403,GPX4,4
404,GRAMD1A,14
405,GRIK5,12
406,GRIN2D,2
407,GRIN3B,2
408,GRWD1,1
409,GSK3A,1
410,GTF2F1,2
411,GTPBP3,4
412,GYS1,2
413,GZMM,2
414,HAMP,1
415,HAPLN4,1
416,HAS1,3
417,HAUS5,2
418,HAUS8,3
419,HCN2,1
420,HCST,3
421,HDGFL2,5
422,HIF3A,20
423,HIPK4,2
424,HMG20B,3
425,HNRNPL,14
426,HNRNPM,18
427,HNRNPUL1,14
428,HOMER3,6
429,HOOK2,13
430,HPN,5
431,HRC,2
432,HSD11B1L,10
433,HSD17B14,3
434,HSH2D,5
435,HSPB6,1
436,HSPBP1,11
437,ICAM1,1
438,ICAM3,4
439,ICAM4,2
440,ICAM5,3
441,IER2,1
442,IFI30,1
443,IFNL1,1
444,IFNL2,1
445,IFNL3,2
446,IGFL1,1
447,IGFL2,4
448,IGFL3,4
449,IGFL4,1
450,IGFLR1,5
451,IGLON5,1
452,IGSF23,11
453,IL11,2
454,IL12RB1,18
455,IL27RA,4
456,IL4I1,4
457,ILF3,13
458,ILVBL,4
459,INAFM1,1
460,INSL3,2
461,INSR,4
462,IQCN,5
463,IRF2BP1,1
464,IRF3,21
465,IRGC,4
466,IRGQ,2
467,ISOC2,3
468,ISYNA1,7
469,ITPKC,2
470,IZUMO1,3
471,IZUMO2,4
472,IZUMO4,6
473,JAK3,4
474,JOSD2,6
475,JSRP1,4
476,JUNB,1
477,JUND,2
478,KANK2,3
479,KANK3,4
480,KCNA7,1
481,KCNC3,2
482,KCNJ14,1
483,KCNK6,4
484,KCNN1,6
485,KCNN4,3
486,KCTD15,8
487,KDELR1,1
488,KDM4B,14
489,KEAP1,5
490,KHSRP,3
491,KIAA0355,9
492,KIR2DL1,1092
493,KIR2DL2,225
494,KIR2DL3,900
495,KIR2DL4,2985
496,KIR2DL5A,64
497,KIR2DL5B,64
498,KIR2DS1,127
499,KIR2DS2,721
500,KIR2DS3,100
501,KIR2DS4,1329
502,KIR2DS5,36
503,KIR3DL1,566
504,KIR3DL2,4234
505,KIR3DL3,2025
506,KIR3DS1,300
507,KIRREL2,8
508,KISS1R,2
509,KLC3,4
510,KLF1,2
511,KLF16,1
512,KLF2,1
513,KLHL26,6
514,KLK1,2
515,KLK10,8
516,KLK11,10
517,KLK12,8
518,KLK13,3
519,KLK14,4
520,KLK15,9
521,KLK2,3
522,KLK3,3
523,KLK4,5
524,KLK5,5
525,KLK6,6
526,KLK7,4
527,KLK8,5
528,KLK9,1
529,KMT2B,6
530,KMT5C,6
531,KPTN,7
532,KRI1,2
533,KRTDAP,2
534,KXD1,9
535,LAIR1,37
536,LAIR2,19
537,LDLR,6
538,LENG1,64
539,LENG8,50
540,LENG9,5
541,LEUTX,4
542,LGALS13,4
543,LGALS14,2
544,LGALS16,1
545,LGALS4,6
546,LGALS7,4
547,LGALS7B,4
548,LGI4,5
549,LHB,1
550,LIG1,6
551,LILRA1,27
552,LILRA2,45
553,LILRA3,8
554,LILRA4,4
555,LILRA5,36
556,LILRA6,5
557,LILRB1,69
558,LILRB2,62
559,LILRB3,12
560,LILRB4,49
561,LILRB5,40
562,LIM2,2
563,LIN37,2
564,LIN7B,4
565,LINGO3,1
566,LIPE,8
567,LMNB2,1
568,LMTK3,3
569,LOC101927572,2
570,LOC102725023,9
571,LOC102725035,4
572,LOC102725180,1
573,LOC105372269,1
574,LOC105372319,1
575,LOC105372412,6
576,LOC105372478,1
577,LOC107983991,1
578,LOC107983998,2
579,LOC107984139,1
580,LOC107985320,4
581,LOC107987269,1
582,LOC107987425,5
583,LOC107987441,1
584,LOC112267881,1
585,LOC112268334,1
586,LOC112268336,1
587,LOC112268337,1
588,LOC112268340,1
589,LOC112268354,1
590,LOC112268355,1
591,LOC390877,3
592,LONP1,4
593,LPAR2,4
594,LRFN1,2
595,LRFN3,1
596,LRG1,1
597,LRP3,2
598,LRRC25,2
599,LRRC4B,5
600,LRRC8E,4
601,LSM14A,15
602,LSM4,2
603,LSM7,2
604,LSR,8
605,LTBP4,3
606,LYL1,3
607,LYPD3,1
608,LYPD4,18
609,LYPD5,3
610,MADCAM1,2
611,MAG,3
612,MAMSTR,13
613,MAN2B1,4
614,MAP1S,4
615,MAP2K2,5
616,MAP2K7,4
617,MAP3K10,5
618,MAP4K1,11
619,MARCHF2,7
620,MARK4,3
621,MAST1,1
622,MAST3,21
623,MATK,4
624,MAU2,6
625,MBD3,2
626,MBD3L1,1
627,MBD3L2,1
628,MBD3L2B,1
629,MBD3L3,1
630,MBD3L4,1
631,MBD3L5,1
632,MBOAT7,259
633,MCEMP1,1
634,MCOLN1,1
635,MED16,6
636,MED25,2
637,MED26,1
638,MED29,2
639,MEF2B,3
640,MEGF8,2
641,MEIS3,12
642,MEX3D,3
643,MFSD12,6
644,MIA,2
645,MICOS13,4
646,MIDN,5
647,MIER2,9
648,MISP,3
649,MISP3,4
650,MKNK2,3
651,MLLT1,5
652,MOB3A,3
653,MPND,4
654,MPV17L2,1
655,MRI1,5
656,MRPL34,2
657,MRPL4,4
658,MRPL54,1
659,MRPS12,12
660,MUC16,14
661,MVB12A,2
662,MYADM,12
663,MYBPC2,1
664,MYDGF,2
665,MYH14,8
666,MYO1F,8
667,MYO9B,2
668,MYPOP,4
669,MZF1,7
670,NACC1,2
671,NANOS2,1
672,NANOS3,4
673,NAPA,3
674,NAPSA,3
675,NAT14,1
676,NCAN,1
677,NCCRP1,2
678,NCLN,2
679,NCR1,1283
680,NDUFA11,2
681,NDUFA13,1
682,NDUFA3,65
683,NDUFA7,1
684,NDUFB7,2
685,NDUFS7,4
686,NECTIN2,2
687,NFIC,10
688,NFIX,12
689,NFKBIB,18
690,NFKBID,18
691,NIBAN3,16
692,NKG7,4
693,NKPD1,5
694,NLRP11,2
695,NLRP12,14
696,NLRP13,2
697,NLRP2,320
698,NLRP4,3
699,NLRP5,1
700,NLRP7,197
701,NLRP8,2
702,NLRP9,3
703,NMRK2,6
704,NOP53,1
705,NOSIP,11
706,NOTCH3,2
707,NOVA2,5
708,NPAS1,7
709,NPHS1,1
710,NR1H2,2
711,NR2C2AP,2
712,NR2F6,1
713,NRTN,2
714,NTF4,6
715,NTN5,3
716,NUCB1,2
717,NUDT19,2
718,NUMBL,3
719,NUP62,5
720,NWD1,11
721,NXNL1,1
722,OAZ1,2
723,OCEL1,4
724,ODF3L2,3
725,OLFM2,3
726,ONECUT3,1
727,OPA3,3
728,OR10H1,2
729,OR10H2,1
730,OR10H3,1
731,OR10H4,1
732,OR10H5,1
733,OR1I1,1
734,OR1M1,1
735,OR2Z1,1
736,OR4F17,1
737,OR7A10,1
738,OR7A17,1
739,OR7A5,5
740,OR7C1,2
741,OR7C2,1
742,OR7D2,1
743,OR7D4,1
744,OR7E24,1
745,OR7G1,1
746,OR7G2,1
747,OR7G3,1
748,OSCAR,384
749,OVOL3,4
750,P2RY11,1
751,PAF1,2
752,PAFAH1B3,6
753,PAK4,11
754,PALM,5
755,PALM3,9
756,PBX4,8
757,PCP2,8
758,PCSK4,18
759,PDCD2L,2
760,PDCD5,2
761,PDE4A,9
762,PDE4C,8
763,PEAK3,1
764,PEG3,27
765,PEPD,3
766,PET100,1
767,PEX11G,10
768,PGLS,2
769,PGLYRP1,1
770,PGLYRP2,2
771,PGPEP1,7
772,PHLDB3,5
773,PIAS4,3
774,PIH1D1,4
775,PIK3R2,1
776,PIN1,2
777,PINLYP,4
778,PIP5K1C,11
779,PKN1,2
780,PLA2G4C,10
781,PLAUR,12
782,PLD3,15
783,PLEKHA4,10
784,PLEKHF1,3
785,PLEKHG2,8
786,PLEKHJ1,5
787,PLIN3,3
788,PLIN4,6
789,PLIN5,1
790,PLK5,1
791,PLPP2,4
792,PLPPR2,7
793,PLPPR3,3
794,PLVAP,1
795,PNKP,1
796,PNMA8A,3
797,PNMA8B,1
798,PNPLA6,5
799,PODNL1,27
800,POLD1,7
801,POLR2E,5
802,POLR2I,1
803,POLRMT,2
804,POP4,1
805,POU2F2,25
806,PPAN,3
807,PPAN-P2RY11,2
808,PPFIA3,2
809,PPM1N,1
810,PPP1R12C,4
811,PPP1R13L,5
812,PPP1R14A,2
813,PPP1R15A,1
814,PPP1R37,2
815,PPP2R1A,2
816,PPP5C,3
817,PPP5D1,5
818,PPP6R1,1
819,PRAM1,4
820,PRDX2,1
821,PRKACA,13
822,PRKCG,2
823,PRKCSH,10
824,PRKD2,5
825,PRMT1,7
826,PRODH2,3
827,PROSER3,12
828,PRPF31,65
829,PRR12,1
830,PRR19,8
831,PRR22,1
832,PRR36,1
833,PRRG2,4
834,PRSS57,2
835,PRTN3,5
836,PRX,5
837,PSENEN,2
838,PSG1,7
839,PSG11,3
840,PSG2,1
841,PSG3,3
842,PSG4,7
843,PSG5,4
844,PSG6,2
845,PSG7,2
846,PSG8,6
847,PSG9,9
848,PSMC4,8
849,PSMD8,1
850,PSPN,1
851,PTBP1,5
852,PTGER1,1
853,PTGIR,3
854,PTH2,1
855,PTOV1,14
856,PTPRH,14
857,PTPRS,23
858,PVR,4
859,PWWP3A,14
860,QPCTL,4
861,QTRT1,1
862,R3HDM4,4
863,RAB11B,1
864,RAB3A,2
865,RAB3D,1
866,RAB4B,1
867,RAB8A,1
868,RABAC1,1
869,RAD23A,4
870,RANBP3,10
871,RASAL3,7
872,RASGRP4,7
873,RASIP1,6
874,RAVER1,2
875,RAX2,2
876,RBM42,2
877,RCN3,2
878,RDH13,135
879,RDH8,1
880,REEP6,2
881,RELB,3
882,RETN,2
883,REX1BD,3
884,REXO1,6
885,RFPL4A,2
886,RFPL4AL1,1
887,RFX1,10
888,RFX2,4
889,RFXANK,13
890,RGL3,2
891,RGS9BP,1
892,RHPN2,1
893,RINL,13
894,RLN3,8
895,RNASEH2A,2
896,RNF126,2
897,RNF225,1
898,RPL13A,2
899,RPL18,2
900,RPL18A,1
901,RPL28,6
902,RPL36,2
903,RPS11,1
904,RPS15,2
905,RPS16,3
906,RPS19,5
907,RPS28,1
908,RPS5,1
909,RPS9,385
910,RPSAP58,2
911,RRAS,1
912,RSPH6A,2
913,RTBDN,16
